jahr,kw,"substr(blv_name,1,3)",player_count
2020,47,HES,575
2020,47,BAY,509
2020,47,SAC,428
2020,47,SLH,276
2020,47,RHP,204
2020,47,BBB,193
2020,47,THÜ,145
2020,47,SAH,145
2020,47,SAA,115
2020,47,MVP,105
2020,47,RHL,53
2020,47,HAM,47
2020,47,BRE,27
2020,48,NRW,1146
2020,48,NIS,698
2020,48,BAW,619
2020,48,HES,575
2020,48,BAY,509
2020,48,SAC,428
2020,48,SLH,276
2020,48,RHP,204
2020,48,BBB,193
2020,48,THÜ,145
2020,48,SAH,145
2020,48,SAA,115
2020,48,MVP,105
2020,48,RHL,53
2020,48,HAM,47
2020,48,BRE,27
2020,49,NRW,1146
2020,49,NIS,698
2020,49,BAW,619
2020,49,HES,575
2020,49,BAY,509
2020,49,SAC,428
2020,49,SLH,276
2020,49,RHP,204
2020,49,BBB,193
2020,49,THÜ,145
2020,49,SAH,145
2020,49,SAA,115
2020,49,MVP,105
2020,49,RHL,53
2020,49,HAM,47
2020,49,BRE,27
2020,50,NRW,1146
2020,50,NIS,698
2020,50,BAW,619
2020,50,HES,575
2020,50,BAY,509
2020,50,SAC,428
2020,50,SLH,276
2020,50,RHP,204
2020,50,BBB,193
2020,50,THÜ,145
2020,50,SAH,145
2020,50,SAA,115
2020,50,MVP,105
2020,50,RHL,53
2020,50,HAM,47
2020,50,BRE,27
2020,51,NRW,1146
2020,51,NIS,698
2020,51,BAW,619
2020,51,HES,575
2020,51,BAY,508
2020,51,SAC,428
2020,51,SLH,276
2020,51,RHP,204
2020,51,BBB,193
2020,51,THÜ,145
2020,51,SAH,145
2020,51,SAA,115
2020,51,MVP,105
2020,51,RHL,53
2020,51,HAM,47
2020,51,BRE,27
2020,52,NRW,1146
2020,52,NIS,698
2020,52,BAW,619
2020,52,HES,575
2020,52,BAY,508
2020,52,SAC,428
2020,52,SLH,276
2020,52,RHP,204
2020,52,BBB,193
2020,52,THÜ,145
2020,52,SAH,145
2020,52,SAA,115
2020,52,MVP,105
2020,52,RHL,53
2020,52,HAM,47
2020,52,BRE,27
2021,1,NRW,1051
2021,1,NIS,662
2021,1,BAW,584
2021,1,HES,531
2021,1,BAY,486
2021,1,SAC,413
2021,1,SLH,248
2021,1,RHP,192
2021,1,BBB,190
2021,1,THÜ,142
2021,1,SAH,139
2021,1,SAA,103
2021,1,MVP,98
2021,1,RHL,48
2021,1,HAM,47
2021,1,BRE,24
2021,2,NRW,1051
2021,2,NIS,662
2021,2,BAW,584
2021,2,HES,531
2021,2,BAY,486
2021,2,SAC,416
2021,2,SLH,248
2021,2,RHP,192
2021,2,BBB,190
2021,2,THÜ,142
2021,2,SAH,139
2021,2,SAA,103
2021,2,MVP,98
2021,2,RHL,48
2021,2,HAM,47
2021,2,BRE,24
2021,3,NRW,1051
2021,3,NIS,662
2021,3,BAW,584
2021,3,HES,531
2021,3,BAY,486
2021,3,SAC,418
2021,3,SLH,248
2021,3,RHP,192
2021,3,BBB,190
2021,3,THÜ,143
2021,3,SAH,139
2021,3,SAA,103
2021,3,MVP,98
2021,3,RHL,48
2021,3,HAM,47
2021,3,BRE,24
2021,4,NRW,1051
2021,4,NIS,662
2021,4,BAW,584
2021,4,HES,531
2021,4,BAY,486
2021,4,SAC,418
2021,4,SLH,248
2021,4,RHP,192
2021,4,BBB,190
2021,4,THÜ,143
2021,4,SAH,139
2021,4,SAA,103
2021,4,MVP,98
2021,4,RHL,48
2021,4,HAM,47
2021,4,BRE,24
2021,5,NRW,1051
2021,5,NIS,662
2021,5,BAW,584
2021,5,HES,531
2021,5,BAY,486
2021,5,SAC,418
2021,5,SLH,248
2021,5,RHP,192
2021,5,BBB,190
2021,5,THÜ,143
2021,5,SAH,139
2021,5,SAA,103
2021,5,MVP,98
2021,5,RHL,48
2021,5,HAM,47
2021,5,BRE,24
2021,6,NRW,1050
2021,6,NIS,662
2021,6,BAW,584
2021,6,HES,531
2021,6,BAY,486
2021,6,SAC,418
2021,6,SLH,248
2021,6,RHP,192
2021,6,BBB,190
2021,6,THÜ,143
2021,6,SAH,139
2021,6,SAA,103
2021,6,MVP,98
2021,6,RHL,48
2021,6,HAM,47
2021,6,BRE,24
2021,7,NRW,1050
2021,7,NIS,662
2021,7,BAW,584
2021,7,HES,531
2021,7,BAY,486
2021,7,SAC,418
2021,7,SLH,248
2021,7,RHP,192
2021,7,BBB,190
2021,7,THÜ,143
2021,7,SAH,139
2021,7,SAA,103
2021,7,MVP,98
2021,7,RHL,48
2021,7,HAM,47
2021,7,BRE,24
2021,8,NRW,1050
2021,8,NIS,662
2021,8,BAW,584
2021,8,HES,531
2021,8,BAY,486
2021,8,SAC,418
2021,8,SLH,248
2021,8,RHP,192
2021,8,BBB,190
2021,8,THÜ,143
2021,8,SAH,139
2021,8,SAA,103
2021,8,MVP,98
2021,8,RHL,48
2021,8,HAM,47
2021,8,BRE,24
2021,9,NRW,1050
2021,9,NIS,662
2021,9,BAW,584
2021,9,HES,531
2021,9,BAY,486
2021,9,SAC,418
2021,9,SLH,248
2021,9,RHP,192
2021,9,BBB,190
2021,9,THÜ,143
2021,9,SAH,139
2021,9,SAA,103
2021,9,MVP,98
2021,9,RHL,48
2021,9,HAM,47
2021,9,BRE,24
2021,10,NRW,1050
2021,10,NIS,662
2021,10,BAW,584
2021,10,HES,531
2021,10,BAY,486
2021,10,SAC,418
2021,10,SLH,248
2021,10,RHP,192
2021,10,BBB,190
2021,10,THÜ,143
2021,10,SAH,139
2021,10,SAA,103
2021,10,MVP,98
2021,10,RHL,48
2021,10,HAM,47
2021,10,BRE,24
2021,11,NRW,1050
2021,11,NIS,662
2021,11,BAW,584
2021,11,HES,531
2021,11,BAY,486
2021,11,SAC,418
2021,11,SLH,248
2021,11,RHP,192
2021,11,BBB,190
2021,11,THÜ,143
2021,11,SAH,139
2021,11,SAA,103
2021,11,MVP,98
2021,11,RHL,48
2021,11,HAM,47
2021,11,BRE,24
2021,12,NRW,1052
2021,12,NIS,661
2021,12,BAW,584
2021,12,HES,531
2021,12,BAY,486
2021,12,SAC,418
2021,12,SLH,248
2021,12,RHP,192
2021,12,BBB,189
2021,12,THÜ,143
2021,12,SAH,139
2021,12,SAA,103
2021,12,MVP,98
2021,12,RHL,48
2021,12,HAM,47
2021,12,BRE,24
2021,13,NRW,1052
2021,13,NIS,661
2021,13,BAW,584
2021,13,HES,531
2021,13,BAY,486
2021,13,SAC,418
2021,13,SLH,248
2021,13,RHP,192
2021,13,BBB,189
2021,13,THÜ,143
2021,13,SAH,139
2021,13,SAA,103
2021,13,MVP,98
2021,13,RHL,48
2021,13,HAM,47
2021,13,BRE,24
2021,14,NRW,1052
2021,14,NIS,661
2021,14,BAW,584
2021,14,HES,530
2021,14,BAY,486
2021,14,SAC,418
2021,14,SLH,248
2021,14,RHP,192
2021,14,BBB,189
2021,14,THÜ,143
2021,14,SAH,139
2021,14,SAA,103
2021,14,MVP,98
2021,14,RHL,48
2021,14,HAM,47
2021,14,BRE,24
2021,15,NRW,1052
2021,15,NIS,661
2021,15,BAW,584
2021,15,HES,530
2021,15,BAY,486
2021,15,SAC,418
2021,15,SLH,248
2021,15,RHP,192
2021,15,BBB,189
2021,15,THÜ,143
2021,15,SAH,139
2021,15,SAA,103
2021,15,MVP,98
2021,15,RHL,48
2021,15,HAM,47
2021,15,BRE,24
2021,16,NRW,1052
2021,16,NIS,661
2021,16,BAW,584
2021,16,HES,530
2021,16,BAY,486
2021,16,SAC,418
2021,16,SLH,248
2021,16,RHP,192
2021,16,BBB,189
2021,16,THÜ,143
2021,16,SAH,139
2021,16,SAA,103
2021,16,MVP,98
2021,16,RHL,48
2021,16,HAM,47
2021,16,BRE,24
2021,17,NRW,1052
2021,17,NIS,661
2021,17,BAW,584
2021,17,HES,530
2021,17,BAY,486
2021,17,SAC,418
2021,17,SLH,248
2021,17,RHP,192
2021,17,BBB,189
2021,17,THÜ,143
2021,17,SAH,139
2021,17,SAA,103
2021,17,MVP,98
2021,17,RHL,48
2021,17,HAM,47
2021,17,BRE,24
2021,18,NRW,1050
2021,18,NIS,661
2021,18,BAW,584
2021,18,HES,529
2021,18,BAY,486
2021,18,SAC,418
2021,18,SLH,248
2021,18,RHP,192
2021,18,BBB,189
2021,18,THÜ,143
2021,18,SAH,139
2021,18,SAA,103
2021,18,MVP,98
2021,18,RHL,48
2021,18,HAM,47
2021,18,BRE,24
2021,19,NRW,1050
2021,19,NIS,661
2021,19,BAW,584
2021,19,HES,529
2021,19,BAY,486
2021,19,SAC,418
2021,19,SLH,248
2021,19,RHP,192
